material_id,target,target_normalized
qmof-644aab4,2.9017470000000003,-0.8973419657722312
qmof-85a8986,3.742023,-0.10836398931357674
qmof-07d3562,4.504094,0.6071833254946809
qmof-9883029,3.511018,-0.32526636121498964
qmof-f224151,3.807474,-0.04690870850441958
qmof-fb4e82f,3.838408,-0.01786319878645565
qmof-0e1877f,3.607448,-0.23472331789361872
qmof-1fe23f7,4.926082,1.0034093730431466
qmof-4db34af,4.171733,0.29511263772807167
qmof-72352f8,3.966191,0.10211877471488943
qmof-4063c99,3.8851,0.025978300526636286
qmof-4a90838,3.284701,-0.5377669309066068
qmof-9b03351,5.227153,1.2861002845417302
qmof-9c5c154,2.886801,-0.9113755271689046
qmof-c80c803,5.160106,1.2231464379631967
qmof-355e9d2,3.700326,-0.14751542846499438
qmof-b7213aa,3.96855,0.1043337600845372
qmof-7943fa6,4.654831,0.7487179798671106
qmof-d007203,4.681731,0.7739757613183696
qmof-49a800c,3.711813,-0.1367296985196188
qmof-ef07e73,4.476253,0.5810419911681195
qmof-3133aaf,4.523716,0.62560742168935
qmof-b4606cd,2.984764,-0.8193930719901071
qmof-7708ea4,4.22261,0.34288364690635065
qmof-9eeead2,4.591529,0.6892805047211048
qmof-bc3f92f,4.577891,0.6764750912106114
qmof-b8ef732,4.586805,0.6848449002759095
qmof-5d009d5,4.508452,0.6112752738799814
qmof-a432f8e,4.187859,0.3102541612850611
qmof-f057986,5.967561,1.9813071041983659
qmof-00b509c,3.452897,-0.3798391313164246
qmof-f2ae0a5,4.083352,0.21212721087142886
qmof-dcabab2,1.687275,-2.03767164438461
qmof-22a8f48,3.888456,0.02912942002665218
qmof-93fec81,3.711249,-0.13725926687421003
qmof-b5586a3,3.578317,-0.26207589898866024
qmof-9545770,1.237404,-2.460078462200937
qmof-2023658,4.602255,0.6993516929681755
qmof-8f721fc,3.294606,-0.5284666214168404
qmof-42408b9,5.923525,1.939959458696967
qmof-37d508d,3.401282,-0.42830308632039166
qmof-b9a1228,3.390196,-0.43871229692145697
qmof-449b3ee,6.586474,2.5624360741367616
qmof-e873125,3.835369,-0.02071667082475936
qmof-1b80432,3.361741,-0.4654301471517755
qmof-0b3d138,3.739812,-0.11044000993769318
qmof-5718ab1,3.714491,-0.13421518778629238
qmof-6c3e399,4.456168,0.5621831606681742
qmof-7003032,4.290824,0.4069332492824153
qmof-07ae0e9,3.870501,0.012270555121174366
qmof-d260db4,3.915417,0.054444477487893245
qmof-afc3059,2.783489,-1.0083804311574711
qmof-7c778f1,3.647152,-0.19744320805195434
qmof-177cedf,4.09525,0.22329884967094876
qmof-5083a07,3.291232,-0.5316346420345559
qmof-2c0cdf7,1.780552,-1.9500891135136416
qmof-225c8dd,2.144897,-1.607987017496585
qmof-4bbc418,4.423185,0.5312137403853914
qmof-e9d7079,3.552998,-0.2858491989352929
qmof-e024f70,4.926859,1.004138937957185
qmof-33c75d7,4.141596,0.2668154719438122
qmof-b0f27f3,4.164134,0.287977549205837
qmof-a160a88,4.209421,0.3304998223873668
qmof-cacd1c8,3.27788,-0.5441715155638199
qmof-2f8901b,4.45952,0.5653305243642571
qmof-ad02239,2.024744,-1.7208047949952123
qmof-741f030,4.829542,0.912763045113611
qmof-fbdf599,3.761368,-0.09019998254128689
qmof-459830d,4.120995,0.24747214273647464
qmof-582aea9,3.4661,-0.367442161483675
qmof-48fb4e9,3.059648,-0.7490806665553097
qmof-0a8808d,4.341899,0.4548901707553906
qmof-0daa5d3,4.301647,0.4170955157748681
qmof-f077716,4.863167000000001,0.9443352719276848
qmof-ac01f2d,4.876882,0.957212984663893
qmof-044255f,4.448779,0.5552452518524364
qmof-5c0fddb,3.896991,0.037143366669272475
qmof-c22186d,3.071504,-0.7379484636970897
qmof-6ab4305,2.558978,-1.2191852553732154
qmof-1231f0a,3.502528,-0.33323805506336096
qmof-be06dfb,3.161291,-0.6536428717579017
qmof-1a90743,2.248759,-1.5104656904671934
qmof-76ab95c,2.350886,-1.4145734433938593
qmof-4b9ff08,2.249586,-1.5096891780039896
qmof-0d43f7f,1.7667480000000002,-1.9630503928873655
qmof-5c226cb,3.773232,-0.07906026807520009
qmof-3754b4e,4.1292100000000005,0.2551856250644341
qmof-002580c,3.978235,0.11342750035797379
qmof-ebae1e4,3.484603,-0.350068751439339
qmof-7c5f404,3.526891,-0.31036239225678036
qmof-62da067,4.939162,1.015690851904948
qmof-7bcba44,3.811826,-0.04282239382501901
qmof-ade80fa,3.308897,-0.5150480729142405
qmof-9fad232,2.769528,-1.0214891258355758
qmof-def4cfb,3.304993,-0.5187137375531146
qmof-bcd74e7,3.052846,-0.7554674111438399
qmof-4fd6966,3.306375,-0.5174161072941689
qmof-3ea6b66,4.820293,0.9040786874689015
qmof-d53fad7,4.339657,0.4527850426507914
qmof-cb69483,3.027957,-0.7788369621676461
qmof-875c095,3.519713,-0.3171021824150383
qmof-d4b91fb,3.908968,0.04838918259647446
qmof-d01066a,4.055974,0.18642061085014444
qmof-b8d9ea0,4.097466,0.2253795650499816
qmof-14c2b89,4.197172,0.3189986117927029
qmof-c9bb6d6,2.768539,-1.0224177483580776
qmof-13af5eb,4.451091,0.5574161065258679
qmof-e212836,4.4144950000000005,0.5230542563403568
qmof-b23782e,3.768665,-0.08334845721601435
qmof-4d9f4e8,3.779048,-0.0735993291562218
qmof-e758e02,3.108594,-0.7031227717258188
qmof-1df1f71,4.311225,0.42608878829308977
qmof-a97dbc4,3.993551,0.1278084736184747
qmof-c605c0a,3.66704,-0.17876935089572274
qmof-d1ec783,4.403321,0.5125624180527593
qmof-e02e5c6,2.350724,-1.4147255534531569
qmof-294c6fc,3.678331,-0.1681676553430774
qmof-18fef57,5.078544,1.1465637178618007
qmof-ccded81,2.963204,-0.8396368551904468
qmof-b6e06d1,2.512537,-1.2627910779894946
qmof-6068fe2,4.354362,0.4665923168604852
qmof-fdef13d,3.17483,-0.640930414394757
qmof-270f527,4.250824,0.3693752099496887
qmof-48ec37d,2.898594,-0.9003024782226335
qmof-7df997f,3.073901,-0.7356977981900759
qmof-63babd7,7.174092,3.114180573052215
qmof-03f76d4,7.130829,3.073558736660922
qmof-7b26ade,2.669706,-1.1152170908923618
qmof-854b146,4.490653,0.5945628853279012
qmof-aef345f,4.511251,0.6139033976822885
qmof-bc8c13d,6.293281,2.287142218484759
qmof-a668ff8,3.890015,0.030593244609645073
qmof-4d020d6,2.826174,-0.9683013084345352
qmof-eca8b2e,3.851764,-0.005322569453257891
